rds_index,hourbin,awt,swt,ewt_95,count,daybin,date,s_trip,m_trip,trip_95,speed
BX39_0_101149,0,7.29,4.91,5.57,85,1,10-01-2015,0.64,1.45,3.91,10.52
BX39_0_101150,0,7.27,4.92,5.42,84,1,10-01-2015,1.18,1.09,1.71,15.9175
BX39_0_101496,0,6.31,4.88,4.38,86,1,10-01-2015,2.52,2.3,4.22,3.665
BX39_0_101497,0,6.66,4.89,5.22,87,1,10-01-2015,0.99,2.43,4.58,4.8525
BX39_0_101498,0,6.37,4.87,5.25,86,1,10-01-2015,1.82,1.27,2.54,6.9075
BX39_0_101499,0,6.46,4.87,4.81,86,1,10-01-2015,1.09,1.02,2.27,13.0625
BX39_0_101819,0,6.23,5.0,4.25,85,1,10-01-2015,0.0,0.0,0.0,null
BX39_0_102417,0,5.86,4.89,4.28,84,1,10-01-2015,1.71,3.47,6.41,3.3075
BX39_0_102418,0,6.23,4.9,4.48,85,1,10-01-2015,1.55,1.25,2.8,8.515
BX39_0_102419,0,6.24,4.9,4.38,85,1,10-01-2015,1.55,0.96,1.68,11.2775
BX39_0_102757,0,6.9,4.88,5.56,87,1,10-01-2015,1.69,2.88,5.96,6.2525
BX39_0_102759,0,6.76,4.89,4.84,89,1,10-01-2015,2.0,1.12,2.77,4.6475
BX39_0_102762,0,7.03,4.89,5.19,89,1,10-01-2015,1.47,1.3,2.03,4.15
BX39_0_102765,0,7.04,4.9,4.98,88,1,10-01-2015,1.38,1.13,2.03,5.6775
BX39_0_102766,0,6.84,4.91,4.9,88,1,10-01-2015,0.89,1.5,2.98,5.6975
BX39_0_102767,0,6.61,4.92,5.02,87,1,10-01-2015,0.72,0.87,2.15,10.2433333333
BX39_0_102768,0,7.52,4.92,6.84,87,1,10-01-2015,1.1,5.1,8.39,1.7375
BX39_0_102769,0,7.25,4.93,5.23,86,1,10-01-2015,0.6,2.61,9.63,2.0825
BX39_0_102775,0,7.34,4.95,5.31,83,1,10-01-2015,2.28,1.86,2.84,3.5475
BX39_0_102942,0,6.99,4.88,6.0,87,1,10-01-2015,1.82,1.89,3.58,8.1275
BX39_0_102985,0,5.91,4.87,4.32,37,1,10-01-2015,8.23,0.07,0.0,4.86
BX39_0_103118,0,6.96,4.89,4.71,89,1,10-01-2015,1.37,1.87,3.39,6.635
BX39_0_103119,0,7.0,4.89,5.43,88,1,10-01-2015,1.42,1.79,3.41,7.085
BX39_0_103321,0,6.27,4.9,3.99,85,1,10-01-2015,1.88,1.26,2.55,9.04
BX39_0_103322,0,6.55,4.91,4.83,85,1,10-01-2015,1.6,1.99,3.64,6.1575
BX39_0_103323,0,6.1,4.88,4.26,86,1,10-01-2015,1.39,1.05,2.41,14.9475
BX39_0_103328,0,7.0,4.89,5.85,88,1,10-01-2015,1.24,1.46,3.13,6.065
