rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_0_0,0,1.87,3487,1,10-01-2015,74.52,7.1625
BX39_1_0,0,2.16,2936,1,10-01-2015,73.3,6.3875
BX39_2_0,0,2.01,6423,1,10-01-2015,73.91,6.845
BX39_0_0,1,1.5,1116,1,10-01-2015,null,null
BX39_0_0,2,2.14,1313,1,10-01-2015,null,null
BX39_0_0,3,1.88,649,1,10-01-2015,null,null
BX39_0_0,4,1.72,409,1,10-01-2015,null,null
BX39_1_0,1,1.81,844,1,10-01-2015,null,null
BX39_1_0,2,2.82,1272,1,10-01-2015,null,null
BX39_1_0,3,2.12,560,1,10-01-2015,null,null
BX39_1_0,4,0.75,260,1,10-01-2015,null,null
BX39_2_0,1,1.65,1960,1,10-01-2015,null,null
BX39_2_0,2,2.46,2585,1,10-01-2015,null,null
BX39_2_0,3,2.01,1209,1,10-01-2015,null,null
BX39_2_0,4,1.31,669,1,10-01-2015,null,null
BX39_0_0,0,1.92,2882,1,10-02-2015,82.49,6.8425
BX39_1_0,0,2.29,2466,1,10-02-2015,77.54,6.455
BX39_2_0,0,2.11,5348,1,10-02-2015,80.01,6.685
BX39_0_0,1,1.79,1066,1,10-02-2015,null,null
BX39_0_0,2,1.63,1120,1,10-02-2015,null,null
BX39_0_0,3,3.54,422,1,10-02-2015,null,null
BX39_0_0,4,1.53,274,1,10-02-2015,null,null
BX39_1_0,1,2.15,762,1,10-02-2015,null,null
BX39_1_0,2,2.72,890,1,10-02-2015,null,null
BX39_1_0,3,2.18,491,1,10-02-2015,null,null
BX39_1_0,4,1.8,323,1,10-02-2015,null,null
BX39_2_0,1,1.97,1828,1,10-02-2015,null,null
BX39_2_0,2,2.12,2010,1,10-02-2015,null,null
BX39_2_0,3,2.77,913,1,10-02-2015,null,null
BX39_2_0,4,1.67,597,1,10-02-2015,null,null
BX39_0_0,0,1.48,2258,2,10-03-2015,68.91,7.425
BX39_1_0,0,1.51,2004,2,10-03-2015,63.26,6.7825
BX39_2_0,0,1.49,4262,2,10-03-2015,66.08,7.145
BX39_0_0,1,1.14,443,2,10-03-2015,null,null
BX39_0_0,2,1.77,1006,2,10-03-2015,null,null
BX39_0_0,3,1.02,487,2,10-03-2015,null,null
BX39_0_0,4,1.79,322,2,10-03-2015,null,null
BX39_1_0,1,1.64,479,2,10-03-2015,null,null
BX39_1_0,2,2.18,786,2,10-03-2015,null,null
BX39_1_0,3,0.71,449,2,10-03-2015,null,null
BX39_1_0,4,0.72,290,2,10-03-2015,null,null
BX39_2_0,1,1.39,922,2,10-03-2015,null,null
BX39_2_0,2,1.95,1792,2,10-03-2015,null,null
BX39_2_0,3,0.87,936,2,10-03-2015,null,null
BX39_2_0,4,1.29,612,2,10-03-2015,null,null
BX39_0_0,0,1.14,2401,2,10-04-2015,62.04,7.9475
BX39_1_0,0,0.87,2266,2,10-04-2015,63.46,7.2225
BX39_2_0,0,1.01,4667,2,10-04-2015,62.75,7.6375
BX39_0_0,1,0.79,343,2,10-04-2015,null,null
BX39_0_0,2,1.41,1203,2,10-04-2015,null,null
BX39_0_0,3,0.73,632,2,10-04-2015,null,null
BX39_0_0,4,1.34,223,2,10-04-2015,null,null
BX39_1_0,1,0.51,514,2,10-04-2015,null,null
BX39_1_0,2,0.9,1056,2,10-04-2015,null,null
BX39_1_0,3,1.4,577,2,10-04-2015,null,null
BX39_1_0,4,-0.04,119,2,10-04-2015,null,null
BX39_2_0,1,0.62,857,2,10-04-2015,null,null
BX39_2_0,2,1.17,2259,2,10-04-2015,null,null
BX39_2_0,3,1.05,1209,2,10-04-2015,null,null
BX39_2_0,4,0.85,342,2,10-04-2015,null,null
BX39_0_0,0,1.49,3520,1,10-05-2015,77.49,7.17
BX39_1_0,0,1.78,3082,1,10-05-2015,87.01,6.3825
BX39_2_0,0,1.63,6602,1,10-05-2015,82.25,6.8425
