rds_index,hourbin,awt,swt,ewt_95,count,daybin,date,s_trip,m_trip,trip_95,speed
M4_0_400026,0,6.79,4.88,4.53,45,1,2015-10-01,1.33,2.01,3.85,2.705
M4_0_400028,0,6.54,4.72,5.19,54,1,2015-10-01,1.11,1.09,2.3,9.9225
M4_0_400029,0,6.79,4.72,5.21,51,1,2015-10-01,1.1,1.46,3.78,9.9775
M4_0_400030,0,6.96,4.67,5.56,52,1,2015-10-01,1.71,1.46,3.75,14.37
M4_0_400032,0,6.83,4.67,5.96,52,1,2015-10-01,1.27,1.62,2.58,6.0875
M4_0_400033,0,6.94,4.71,5.6,55,1,2015-10-01,1.15,1.47,3.78,14.385
M4_0_400034,0,7.26,4.71,6.62,50,1,2015-10-01,1.78,1.64,3.57,9.3175
M4_0_400036,0,6.73,4.69,5.69,55,1,2015-10-01,2.03,1.97,5.11,12.365
M4_0_400037,0,7.07,4.68,5.86,51,1,2015-10-01,1.34,2.36,4.91,4.2575
M4_0_400038,0,7.37,4.69,6.54,52,1,2015-10-01,1.39,1.53,2.5,5.835
M4_0_400039,0,7.74,4.64,6.6,56,1,2015-10-01,1.13,1.7,2.75,7.0825
M4_0_400041,0,6.77,4.63,6.24,54,1,2015-10-01,1.2,1.88,4.23,6.3825
M4_0_400042,0,7.18,4.7,6.77,58,1,2015-10-01,1.59,1.6,2.75,8.9175
M4_0_400043,0,7.43,4.63,7.39,54,1,2015-10-01,0.89,1.1,2.47,3.7175
M4_0_400044,0,7.61,4.6,7.45,55,1,2015-10-01,0.69,0.93,1.89,6.7775
M4_0_400045,0,7.86,4.68,7.79,59,1,2015-10-01,1.15,0.92,2.23,9.885
M4_0_400046,0,7.21,4.6,6.93,52,1,2015-10-01,0.92,1.01,2.05,8.4975
M4_0_400224,0,6.36,4.75,4.38,55,1,2015-10-01,1.9,1.23,2.28,7.66
M4_0_400225,0,7.36,4.73,7.41,57,1,2015-10-01,1.32,2.02,4.88,9.6125
