rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_0_0,0,2.84,3711,1,2015-10-01,206.62,9.105
M4_1_0,0,2.17,3674,1,2015-10-01,251.39,5.2425
M4_2_0,0,2.5,7385,1,2015-10-01,229.0,6.82
M4_0_0,1,2.24,1641,1,2015-10-01,null,null
M4_0_0,2,3.35,1294,1,2015-10-01,null,null
M4_0_0,3,3.45,530,1,2015-10-01,null,null
M4_0_0,4,2.48,246,1,2015-10-01,null,null
M4_1_0,1,1.13,1559,1,2015-10-01,null,null
M4_1_0,2,2.82,1650,1,2015-10-01,null,null
M4_1_0,3,2.74,347,1,2015-10-01,null,null
M4_1_0,4,3.23,118,1,2015-10-01,null,null
M4_2_0,1,1.69,3200,1,2015-10-01,null,null
M4_2_0,2,3.05,2944,1,2015-10-01,null,null
M4_2_0,3,3.15,877,1,2015-10-01,null,null
M4_2_0,4,2.71,364,1,2015-10-01,null,null
M4_0_0,0,2.85,4603,1,2015-10-02,204.91,8.655
M4_1_0,0,2.11,4323,1,2015-10-02,251.73,5.485
M4_2_0,0,2.5,8926,1,2015-10-02,228.32,6.7775
M4_0_0,1,2.03,1778,1,2015-10-02,null,null
M4_0_0,2,3.33,1529,1,2015-10-02,null,null
M4_0_0,3,3.17,938,1,2015-10-02,null,null
M4_0_0,4,3.23,358,1,2015-10-02,null,null
M4_1_0,1,1.44,1606,1,2015-10-02,null,null
M4_1_0,2,2.4,2325,1,2015-10-02,null,null
M4_1_0,3,2.84,255,1,2015-10-02,null,null
M4_1_0,4,3.28,137,1,2015-10-02,null,null
M4_2_0,1,1.75,3384,1,2015-10-02,null,null
M4_2_0,2,2.79,3854,1,2015-10-02,null,null
M4_2_0,3,3.08,1193,1,2015-10-02,null,null
M4_2_0,4,3.24,495,1,2015-10-02,null,null
M4_0_0,0,2.29,3386,2,2015-10-03,131.72,11.925
M4_1_0,0,1.47,3423,2,2015-10-03,154.76,6.0025
M4_2_0,0,1.88,6809,2,2015-10-03,143.24,8.35
M4_0_0,1,2.17,279,2,2015-10-03,null,null
M4_0_0,2,2.32,1576,2,2015-10-03,null,null
M4_0_0,3,2.93,1104,2,2015-10-03,null,null
M4_0_0,4,1.07,427,2,2015-10-03,null,null
M4_1_0,1,0.23,451,2,2015-10-03,null,null
M4_1_0,2,1.46,2037,2,2015-10-03,null,null
M4_1_0,3,2.33,724,2,2015-10-03,null,null
M4_1_0,4,2.01,211,2,2015-10-03,null,null
M4_2_0,1,0.87,730,2,2015-10-03,null,null
M4_2_0,2,1.85,3613,2,2015-10-03,null,null
M4_2_0,3,2.68,1828,2,2015-10-03,null,null
M4_2_0,4,1.35,638,2,2015-10-03,null,null
M4_0_0,0,1.83,1380,2,2015-10-04,136.93,9.58
M4_1_0,0,2.11,1275,2,2015-10-04,176.77,6.4425
M4_2_0,0,1.96,2655,2,2015-10-04,156.85,7.8025
M4_0_0,1,0.34,421,2,2015-10-04,null,null
M4_0_0,2,2.41,492,2,2015-10-04,null,null
M4_0_0,3,2.69,457,2,2015-10-04,null,null
M4_0_0,4,9.7,10,2,2015-10-04,null,null
M4_1_0,1,-0.56,168,2,2015-10-04,null,null
M4_1_0,2,2.46,892,2,2015-10-04,null,null
M4_1_0,3,2.26,179,2,2015-10-04,null,null
M4_1_0,4,3.23,36,2,2015-10-04,null,null
M4_2_0,1,0.18,589,2,2015-10-04,null,null
M4_2_0,2,2.44,1384,2,2015-10-04,null,null
M4_2_0,3,2.56,636,2,2015-10-04,null,null
M4_2_0,4,5.97,46,2,2015-10-04,null,null
M4_0_0,0,2.01,6265,1,2015-10-05,217.17,9.215
M4_1_0,0,1.72,4917,1,2015-10-05,230.02,5.5925
M4_2_0,0,1.89,11182,1,2015-10-05,223.59,7.1125
M4_0_0,1,1.28,1901,1,2015-10-05,null,null
M4_0_0,2,2.47,2528,1,2015-10-05,null,null
M4_0_0,3,2.45,1268,1,2015-10-05,null,null
M4_0_0,4,1.52,568,1,2015-10-05,null,null
M4_1_0,1,1.36,1799,1,2015-10-05,null,null
M4_1_0,2,1.84,2483,1,2015-10-05,null,null
M4_1_0,3,2.62,426,1,2015-10-05,null,null
M4_1_0,4,1.67,209,1,2015-10-05,null,null
M4_2_0,1,1.32,3700,1,2015-10-05,null,null
